"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lflavo2a012809",126.249739587489,-0.584068956002345,0.13192627655619,-4.42723747875638,9.54476298422619e-06,0.000435040249702099
"Lflavo2a012819",238.425330763959,-0.201476513013932,0.0604060410625553,-3.33537026214458,0.000851858927602235,0.0131014041078497
"Lflavo2a012852",772.175494920508,-0.365953966035306,0.116772731263731,-3.13389917384736,0.00172500117298895,0.0225552418182457
"Lflavo2a012828",3663.90144333163,-0.53756427067504,0.124262292400989,-4.32604501565403,1.51810411325124e-05,0.000606057308758245
"Lflavo2a012768",184.60511401904,-0.816355713964623,0.172802888136691,-4.72420179296348,2.31020936533769e-06,0.00014471749494818
"Lflavo2a012811",1696.00565734947,-0.0840903980602538,0.0211530792323982,-3.97532657710941,7.0282744021494e-05,0.00195645459634094
"Lflavo2a012750",2219.10054961484,-0.270105631774995,0.0691541151256887,-3.90585045132995,9.38945703857061e-05,0.0024138282001449
"Lflavo2a012896",1636.64485539135,-0.20614170360252,0.0664521246134832,-3.1021085450847,0.00192147489300577,0.0245817776652943
"Lflavo2a008929",950.820808269571,-0.365573075483357,0.129308061732749,-2.82714836634792,0.00469645628720362,0.0472499596794803
"Lflavo2a008920",38.401274885536,-0.603333001093958,0.169366600134378,-3.56229032533726,0.000367633500579313,0.00682973258997014
"Lflavo2a002784",200.501150983868,-0.263343376943542,0.0918311445415852,-2.86769132910337,0.00413478714194938,0.0430614557299409
"Lflavo2a002805",116.458858194913,-0.412553466568261,0.110123986141552,-3.74626347104771,0.000179488079246392,0.00390846575658779
"Lflavo2a012512",27.368206018083,-0.780114903624217,0.271052122412773,-2.87809922563977,0.00400079276609484,0.0420943223931736
"Lflavo2a012458",24.760474377868,-0.867788761150265,0.159464150305876,-5.44190502683968,5.27137790005172e-08,7.06490147604551e-06
"Lflavo2a012508",883.21089719841,-0.212669055394529,0.0660830073221458,-3.21821091400693,0.001289929269453,0.0181298673102396
"Lflavo2a011534",11865.8636789928,-0.305341926419546,0.0844785323641296,-3.61443218619642,0.000301006587338734,0.00586080680856134
"Lflavo2a011546",1965.43584578016,-0.283208509230778,0.0749265571022188,-3.7798147971007,0.000156945054030679,0.00350572900451861
"Lflavo2a011574",2048.85920619647,-0.12195117044558,0.0415873396446232,-2.93241095698093,0.00336341355765585,0.0371937947848
"Lflavo2a011548",520.192212687826,-0.349787729958776,0.123937349764962,-2.82229473699513,0.0047681334079556,0.0477576920878684
"Lflavo2a011479",1631.16247881361,-0.241088211786277,0.0628002665269625,-3.83896797130263,0.000123552544767422,0.00297212510468299
"Lflavo2a011492",1535.17353517563,-0.151508502823181,0.0535683743662063,-2.8283199670655,0.00467930119559858,0.0471194748300973
"Lflavo2a011563",10.8134532766526,-0.629329714588433,0.218250080979951,-2.88352568650935,0.00393250573779271,0.0416875231601415
"Lflavo2a014131",1434.79035966561,-0.311647863576511,0.0736119931776034,-4.23365609493277,2.29922462537358e-05,0.000845904275570448
"Lflavo2a014162",29.4872891705549,-1.09968593572983,0.253378240898915,-4.34009618122084,1.42420365358476e-05,0.000580930606233957
"Lflavo2a014108",8.18745182079825,-0.55796503000887,0.178365859417313,-3.12820531816814,0.00175877274477378,0.0229701433418367
"Lflavo2a014105",511.25009708572,-0.446788355991432,0.114429167834059,-3.90449711772218,9.44215174187165e-05,0.0024138282001449
"Lflavo2a014130",171.823024851993,-0.798551053072915,0.106951867602857,-7.46645262930951,8.23856126999484e-14,4.88156435671589e-11
"Lflavo2a014178",299.693279684873,-0.176901643207149,0.0622042700998292,-2.8438826293315,0.00445674618319521,0.0454063787605535
"Lflavo2a002212",1235.43967599959,-0.225516388258633,0.0622869466678601,-3.62060432117791,0.000293915712259142,0.00577367809302895
"Lflavo2a007153",400.88993160915,-0.277138190093599,0.0664612456238474,-4.16992169635408,3.04704313555438e-05,0.00103195992115957
"Lflavo2a010364",519.500777178557,-0.357119433890989,0.0684178977717641,-5.21967855665936,1.79233940033718e-07,1.86834786749963e-05
"Lflavo2a004234",539.339470101473,-0.422538482678971,0.109132714779434,-3.87178568344933,0.000108040929847217,0.00268504368260478
"Lflavo2a004208",457.48872640579,-0.200123947793002,0.0614081281823479,-3.25891626591752,0.00111838671633694,0.0162217957208822
"Lflavo2a012355",143.738041423546,-0.328836003065629,0.109591639229403,-3.00055739085435,0.00269485964838952,0.0312770411562569
"Lflavo2a012365",311.987286356117,-0.276041931038045,0.0968111208055897,-2.85134526633956,0.00435346691485558,0.0447009710170178
"Lflavo2a012363",124.405708568041,-0.238952821436935,0.0835605775197576,-2.85963582983178,0.00424127743590122,0.0438057810764917
"Lflavo2a003365",1550.32486801168,-0.735119314764343,0.118570234332776,-6.19986389418089,5.65120102344073e-10,1.38307002438904e-07
